Gene	Operon
SM2011_a1677	843
SM2011_a1684	844
SM2011_a1718	845
SM2011_a1734	846
SM2011_a1746	847
SM2011_a1755	848
SM2011_a1760	849
SM2011_a1766	850
SM2011_a1780	851
SM2011_a1787	852
SM2011_a1821	853
SM2011_a1828	854
SM2011_a1836	855
SM2011_a1844	856
SM2011_a1851	857
SM2011_a1853	858
SM2011_a1871	859
SM2011_a1885	860
SM2011_a1887	861
SM2011_a1894	862
SM2011_a1902	863
SM2011_a1918	864
SM2011_a1935	865
SM2011_a1968	866
SM2011_a1971	867
SM2011_a1978	868
SM2011_a2000	869
SM2011_a2002	870
SM2011_a2009	871
SM2011_a2015	872
SM2011_a2029	873
SM2011_a2041	874
SM2011_a2051	875
SM2011_a2061	876
SM2011_a2069	877
SM2011_a2075	878
SM2011_a2085	879
SM2011_a2087	880
SM2011_a2121	881
SM2011_a2129	882
SM2011_a2139	883
SM2011_c01843	439
SM2011_a2147	885
SM2011_a2157	886
SM2011_a2189	887
SM2011_a2199	888
SM2011_a2207	889
SM2011_a2213	890
SM2011_a2215	891
SM2011_a2239	892
SM2011_a2245	893
SM2011_a2249	894
SM2011_a2253	895
SM2011_a2263	896
SM2011_a2275	897
SM2011_a2281	898
SM2011_a2289	899
SM2011_a2303	900
SM2011_a2305	901
SM2011_a2315	902
SM2011_a2333	903
SM2011_a2400	904
SM2011_a2414	905
SM2011_a5012	906
SM2011_a2349	907
SM2011_a2361	908
SM2011_a2395	909
SM2011_b21652	910
SM2011_b20007	911
SM2011_b20017	912
SM2011_b20020	913
SM2011_b20026	914
SM2011_b20029	915
SM2011_b20032	916
SM2011_b20034	917
SM2011_b20046	918
SM2011_b20056	919
SM2011_b20062	920
SM2011_b20074	921
SM2011_b20077	922
SM2011_b20082	923
SM2011_b20086	924
SM2011_b20090	925
SM2011_b20095	926
SM2011_b20106	927
SM2011_b20108	928
SM2011_b20115	929
SM2011_b20121	930
SM2011_b20126	931
SM2011_b20128	932
SM2011_b20129	933
SM2011_b20136	934
SM2011_b20138	935
SM2011_b20144	936
SM2011_b20145	937
SM2011_b20149	938
SM2011_b20151	939
SM2011_b20155	940
SM2011_b22005	941
SM2011_b20162	942
SM2011_b20165	943
SM2011_b20170	944
SM2011_b20173	945
SM2011_b20178	946
SM2011_b20202	947
SM2011_b20204	948
SM2011_b20212	949
SM2011_b20222	950
SM2011_b20227	951
SM2011_b20231	952
SM2011_b20245	953
SM2011_b20246	954
SM2011_b20249	955
SM2011_b20255	956
SM2011_b20263	957
SM2011_b20270	958
SM2011_b20276	959
SM2011_b20285	960
SM2011_b20288	961
SM2011_b20294	962
SM2011_b20312	963
SM2011_b20314	964
SM2011_b20315	965
SM2011_b20317	966
SM2011_b20322	967
SM2011_b20325	968
SM2011_b20329	969
SM2011_b20343	970
SM2011_b20347	971
SM2011_b20350	972
SM2011_b20355	973
SM2011_b20359	974
SM2011_b20364	975
SM2011_b20368	976
SM2011_b20375	977
SM2011_b20382	978
SM2011_b20387	979
SM2011_b20389	980
SM2011_b20390	981
SM2011_b20198	947
SM2011_b20397	983
SM2011_b20398	984
SM2011_b20401	985
SM2011_b20402	986
SM2011_b20406	987
SM2011_b20413	988
SM2011_b20415	989
SM2011_b20417	990
SM2011_b20423	991
SM2011_b20427	992
SM2011_b20429	993
SM2011_b20434	994
SM2011_b20441	995
SM2011_b20447	996
SM2011_b20449	997
SM2011_b20458	998
SM2011_b20467	999
SM2011_b20470	1000
SM2011_b20475	1001
SM2011_b20476	1002
SM2011_b20481	1003
SM2011_b20485	1004
SM2011_b20504	1005
SM2011_b20508	1006
SM2011_b20510	1007
SM2011_b20515	1008
SM2011_b20530	1009
SM2011_b20531	1010
SM2011_b20537	1011
SM2011_b20552	1012
SM2011_b20555	1013
SM2011_b20803	1014
SM2011_b20817	1015
SM2011_b20818	1016
SM2011_b20820	1017
SM2011_b20825	1018
SM2011_b20828	1019
SM2011_b20836	1020
SM2011_b20838	1021
SM2011_b20841	1022
SM2011_b20843	1023
SM2011_b21019	1024
SM2011_b21021	1025
SM2011_b21031	1026
SM2011_b21037	1027
SM2011_b21696	1028
SM2011_b21661	1029
SM2011_b21045	1030
SM2011_b21052	1031
SM2011_b21057	1032
SM2011_b21058	1033
SM2011_b21063	1034
